1,Marama Davidson
2,James Shaw
3,Chlöe Swarbrick
4,Julie Anne Genter
5,Jan Logie
6,Eugenie Sage
7,Golriz Ghahraman
8,Teanau Tuiono
9,Elizabeth Kerekere
10,Ricardo Menéndez March
11,Steve Abel
12,Teall Crossen
13,Scott Willis
14,Kyle MacDonald
15,Lourdes Vano
16,John Ranta
17,Lawrence Xu-Nan
18,Luke Wijohn
19,Kaya Sparke
20,Jack Brazil
21,James Crow
22,Elliot Blyth
23,Richard McIntosh
24,Gerrie Ligtenberg
25,Moea Armstrong
26,Nikki Berry
27,Rimu Bhooi
28,Zephyr Brown
29,Alan Clay
30,Josh Cole
31,Danna Glendining
32,Pamela Grealey
33,Chrys Horn
34,Daniel Jones
35,Richard McCubbin
36,Chris Norton
37,Abe O'Donnell
38,Elizabeth Rawlings
39,Steve Richards
40,Mark Simiona
41,Aaron Stallard
42,Darleen Tana Hoff-Nielsen
43,Ali Hale Tilley
44,Richard Wesley
